Date,Open,Close,High,Low,Volume
2021-03-31,195.78,196.81,198.92,187.13,58433.21210439
2021-03-30,193.85,195.79,199.97,190.26,46790.59535496
2021-03-29,184.00,193.87,197.49,182.50,45681.48775042
2021-03-28,184.29,184.06,187.19,179.90,17032.78104070
2021-03-27,183.67,184.14,185.99,177.76,27434.10339529
2021-03-26,171.55,183.64,183.82,171.55,35436.81435511
2021-03-25,176.13,171.62,178.08,167.79,47743.41497664
2021-03-24,185.76,176.13,197.00,172.34,81873.70498987
2021-03-23,185.81,186.12,189.50,180.48,63425.37510331
2021-03-22,195.63,185.91,198.75,184.84,50993.23055973
2021-03-21,199.99,195.61,201.91,192.37,34737.90981768
2021-03-20,200.01,199.76,206.15,199.00,30616.83224371
2021-03-19,199.83,200.15,204.90,195.80,37350.88912809
2021-03-18,206.29,199.83,208.07,199.23,55372.04580829
2021-03-17,201.68,206.07,206.92,194.40,55486.74278278
2021-03-16,200.73,201.67,205.22,191.28,83966.64781032
2021-03-15,214.01,200.68,222.26,197.68,108581.10846407
2021-03-14,225.94,214.00,227.88,214.00,66253.57025787
2021-03-13,220.89,225.95,229.92,212.83,110696.90379204
2021-03-12,201.32,220.86,224.21,198.77,139072.82325138
2021-03-11,200.20,201.32,203.50,191.24,71934.68293780
2021-03-10,203.90,200.15,208.14,191.38,102365.11327004
2021-03-09,192.18,203.89,204.99,189.18,71172.40694547
2021-03-08,190.84,191.76,195.00,180.10,59859.55362340
2021-03-07,183.11,190.32,192.05,182.41,47320.31515202
2021-03-06,180.68,182.66,184.58,174.71,55608.76194572
2021-03-05,180.60,180.80,183.58,168.66,72663.93704514
2021-03-04,188.59,180.60,194.34,176.94,80472.12675501
2021-03-03,178.94,187.95,196.50,177.11,128644.76425511
2021-03-02,176.02,179.13,185.11,170.81,120843.04252336
2021-03-01,165.48,176.04,176.58,163.52,105954.61453221
2021-02-28,171.74,165.39,173.01,153.13,90127.89196947
2021-02-27,170.26,171.80,180.40,167.45,85573.02484805
2021-02-26,179.19,170.41,182.52,162.93,117899.35200931
2021-02-25,181.66,179.07,205.00,175.41,168161.11542924
2021-02-24,177.59,181.63,189.54,169.19,146921.22852044
2021-02-23,208.32,177.71,208.67,159.24,323197.26966055
2021-02-22,227.51,208.21,227.58,150.0,317354.75345252
2021-02-21,227.04,227.53,233.61,220.29,157272.55518673
2021-02-20,236.9,227.3,247.05,214.62,142755.41346472
2021-02-19,226.8,236.74,241.87,220.12,109534.61786714
2021-02-18,237.57,226.54,238.89,221.04,93359.63016771
2021-02-17,210.32,237.28,237.65,203.56,130579.51314698
2021-02-16,208.45,209.86,221.99,200.45,150003.26772275
2021-02-15,214.0,207.96,220.0,186.55,272090.38824652
2021-02-14,226.38,213.82,230.72,208.43,140962.93774042
2021-02-13,197.14,226.46,229.15,192.12,212882.85585127
2021-02-12,184.16,196.9,200.16,177.01,131145.90508406
2021-02-11,182.34,183.98,193.5,175.76,120156.99339474
2021-02-10,182.06,182.23,195.3,170.89,205999.93120885
2021-02-09,167.56,181.7,184.48,164.3,198095.56681701
2021-02-08,151.07,167.5,169.43,148.01,127948.40234289
2021-02-07,155.94,151.19,157.32,145.5,63508.17626613
2021-02-06,155.16,155.75,164.11,150.02,107539.1993652
2021-02-05,145.25,155.17,156.97,143.75,71032.73047474
2021-02-04,156.3,145.33,158.9,141.28,147209.06355519
2021-02-03,142.1,155.98,156.79,142.1,90382.77406868
2021-02-02,132.03,142.1,145.99,131.97,161969.74334652
2021-02-01,129.45,131.98,136.57,126.03,65083.32970435
2021-01-31,133.36,129.68,135.0,125.85,64312.63037648
2021-01-30,134.71,133.28,135.97,128.12,62042.79267007
2021-01-29,133.72,134.71,145.81,131.75,151545.49360578
2021-01-28,122.65,133.5,136.22,121.04,71946.31388501
2021-01-27,134.83,122.74,134.96,117.99,93000.2209526
2021-01-26,137.09,134.8,139.62,128.5,47272.92214416
2021-01-25,141.05,137.2,147.61,136.68,66584.99871711
2021-01-24,137.48,141.11,142.54,133.93,47747.7329819
2021-01-23,137.64,137.71,143.52,135.11,45013.29794344
2021-01-22,129.04,138.41,142.0,122.52,114824.46950202
2021-01-21,150.1,129.76,150.22,125.55,88188.62675214
2021-01-20,152.03,149.87,156.14,138.73,71839.90860625
2021-01-19,151.93,151.94,166.29,150.34,102613.78126526
2021-01-18,142.71,152.0,154.63,138.48,73335.02398407
2021-01-17,143.43,142.71,146.92,136.48,41620.65291756
2021-01-16,143.58,143.99,152.57,139.53,61566.15676418
2021-01-15,152.35,144.0,155.29,130.2,86690.56688973
2021-01-14,147.73,152.47,156.7,143.6,100389.31152356
2021-01-13,133.11,147.54,148.49,125.66,84780.35539047
2021-01-12,139.22,133.35,146.8,127.95,149491.12546623
2021-01-11,170.17,139.23,170.66,113.11,338168.77723655
