Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2020-07-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-13,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-07-26,0,0.0,0,1,0.0,0,0,0.0,0
2020-07-27,0,0.0,0,1,0.0,0,0,0.0,0
2020-07-28,0,0.0,0,1,0.0,0,1,-0.015434118177857004,1
2020-07-29,0,0.0,0,1,0.0,0,1,0.0,0
2020-07-30,0,0.0,0,1,-0.018234161105397773,1,1,0.0,0
2020-07-31,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-01,0,0.0,0,1,0.04505968543286398,1,1,-0.005497407483167627,1
2020-08-02,0,0.0,0,1,-0.031378663232447535,-1,1,0.017055072624282963,-1
2020-08-03,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-04,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-05,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-06,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-07,0,0.0,0,1,-0.03284116460405917,-1,1,-0.040683261289998995,-1
2020-08-08,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-09,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-10,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-11,0,0.0,0,1,-0.026561652202601094,-1,1,0.002882152948437966,-1
2020-08-12,0,0.0,0,1,0.0,0,1,0.0,0
2020-08-13,0,0.0,0,1,0.022545349568576345,1,0,0.0,0
2020-08-14,0,0.0,0,1,0.0,0,0,0.0,0
2020-08-15,0,0.0,0,1,0.0,0,0,0.0,0
2020-08-16,0,0.0,0,1,0.0,0,0,0.0,0
2020-08-17,0,0.0,0,1,0.0,0,0,0.0,0
2020-08-18,0,0.0,0,1,0.0,0,0,0.0,0
2020-08-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-26,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-27,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-28,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-29,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-30,0,0.0,0,0,0.0,0,0,0.0,0
2020-08-31,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-11,0,0.0,0,1,0.0,0,0,0.0,0
2020-09-12,0,0.0,0,1,0.0,0,0,0.0,0
2020-09-13,0,0.0,0,1,-0.01999474472214824,-1,0,0.0,0
2020-09-14,0,0.0,0,1,0.0,0,0,0.0,0
2020-09-15,0,0.0,0,1,0.0,0,0,0.0,0
2020-09-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-26,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-27,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-28,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-29,0,0.0,0,0,0.0,0,0,0.0,0
2020-09-30,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-13,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-18,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-19,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-20,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-21,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-22,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-23,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-25,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-26,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-27,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-28,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-29,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-30,0,0.0,0,0,0.0,0,0,0.0,0
2020-10-31,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-06,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-07,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-12,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-13,1,0.0,0,0,0.0,0,0,0.0,0
2020-11-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-15,0,0.0,0,0,0.0,0,0,0.0,0
2020-11-16,0,0.0,0,0,0.0,0,1,0.10866282620127521,1
2020-11-17,0,0.0,0,0,0.0,0,1,0.0,0
2020-11-18,0,0.0,0,0,0.0,0,1,-0.0347934211599894,-1
2020-11-19,0,0.0,0,0,0.0,0,1,0.03698743110426039,1
2020-11-20,0,0.0,0,0,0.0,0,1,0.0,0
2020-11-21,0,0.0,0,1,0.009916959143396742,1,1,0.0,0
2020-11-22,0,0.0,0,1,-0.0918869576802257,-1,1,-0.02198971032470931,-1
2020-11-23,0,0.0,0,1,0.014344262677034703,1,1,0.006426540812526138,1
2020-11-24,0,0.0,0,1,0.0,0,1,0.0,0
2020-11-25,0,0.0,0,1,-0.011929413839036673,-1,1,0.014641626075115766,-1
2020-11-26,0,0.0,0,1,0.01674040901487639,-1,1,0.06813992106911804,-1
2020-11-27,0,0.0,0,0,0.0,0,1,-0.04739408668158851,-1
2020-11-28,0,0.0,0,0,0.0,0,1,-0.02087381878152139,1
2020-11-29,0,0.0,0,1,0.0,0,1,0.013415768628428859,1
2020-11-30,0,0.0,0,1,0.0,0,1,0.03675016632584582,1
2020-12-01,0,0.0,0,1,-0.025077642552194357,-1,1,-0.04577576379622128,-1
2020-12-02,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-03,0,0.0,0,1,0.0,0,1,0.0,0
2020-12-04,0,0.0,0,1,0.00699602562867363,-1,1,0.03638219526525921,-1
2020-12-05,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-06,0,0.0,0,1,0.0,0,1,0.0,0
2020-12-07,0,0.0,0,1,0.0,0,1,0.0,0
2020-12-08,0,0.0,0,0,0.0,0,1,0.011005373782939643,-1
2020-12-09,0,0.0,0,0,0.0,0,0,0.0,0
2020-12-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-12-11,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-12,0,0.0,0,0,0.0,0,1,-0.009681842296058174,1
2020-12-13,0,0.0,0,0,0.0,0,1,-0.0027538215907825236,1
2020-12-14,0,0.0,0,0,0.0,0,0,0.0,0
2020-12-15,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-16,0,0.0,0,0,0.0,0,0,0.0,0
2020-12-17,0,0.0,0,0,0.0,0,0,0.0,0
2020-12-18,0,0.0,0,0,0.0,0,1,0.004017999549662754,1
2020-12-19,0,0.0,0,0,0.0,0,1,0.024444301106808064,1
2020-12-20,0,0.0,0,0,0.0,0,1,-0.027219124087644486,-1
2020-12-21,0,0.0,0,0,0.0,0,1,0.01610510187551173,-1
2020-12-22,0,0.0,0,0,0.0,0,1,0.015220193624218892,1
2020-12-23,0,0.0,0,0,0.0,0,1,0.037378027950560555,-1
2020-12-24,0,0.0,0,0,0.0,0,1,0.010524916480452395,1
2020-12-25,0,0.0,0,0,0.0,0,1,0.06834836581583881,1
2020-12-26,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-27,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-28,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-29,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-30,0,0.0,0,0,0.0,0,1,0.0,0
2020-12-31,0,0.0,0,0,0.0,0,1,0.0,0
2021-01-01,0,0.0,0,0,0.0,0,1,0.0,0
2021-01-02,0,0.0,0,0,0.0,0,1,0.006448196924515814,1
2021-01-03,0,0.0,0,1,0.17599003798260404,1,1,0.09439788313732089,1
2021-01-04,0,0.0,0,1,-0.011202724121121,1,1,-0.1090999522745133,1
2021-01-05,0,0.0,0,1,-0.018912552297642327,1,1,0.0,0
2021-01-06,0,0.0,0,1,0.018881074698627875,1,1,0.0,0
2021-01-07,0,0.0,0,1,0.0,0,1,0.0,0
2021-01-08,0,0.0,0,1,-0.07441036118074229,-1,1,-0.09970991269859608,-1
2021-01-09,0,0.0,0,1,0.0,0,1,0.0,0
2021-01-10,0,0.0,0,1,-0.057962029486066546,-1,1,-0.03600310164805842,-1
2021-01-11,0,0.0,0,1,0.0631591517668062,-1,1,0.1182261819892193,-1
2021-01-12,0,0.0,0,1,-0.04255690506330767,-1,1,-0.03509196157448913,-1
2021-01-13,0,0.0,0,1,-0.0007942709292817485,1,1,0.02672474139004888,1
2021-01-14,0,0.0,0,1,0.01003137522402131,1,1,0.0,0
2021-01-15,0,0.0,0,1,-0.02732784281897782,-1,1,-0.02118442271180876,-1
2021-01-16,0,0.0,0,1,-0.025684376399953912,1,1,0.0,0
2021-01-17,0,0.0,0,1,0.0,0,1,0.0,0
2021-01-18,0,0.0,0,1,0.0,0,1,-0.013402226153910846,1
2021-01-19,0,0.0,0,1,0.008452584628498183,1,1,-0.0707463101659036,1
2021-01-20,0,0.0,0,1,-0.09017762665704443,-1,1,-0.06796702986294267,-1
2021-01-21,0,0.0,0,1,0.1286800784157084,-1,1,0.062451616368916274,-1
2021-01-22,0,0.0,0,0,0.0,0,1,-0.011253525495559136,1
2021-01-23,0,0.0,0,0,0.0,0,1,0.0,0
2021-01-24,0,0.0,0,0,0.0,0,0,0.0,0
2021-01-25,0,0.0,0,0,0.0,0,0,0.0,0
2021-01-26,0,0.0,0,0,0.0,0,1,0.0,0
2021-01-27,0,0.0,0,0,0.0,0,1,0.011512613027031882,-1
2021-01-28,0,0.0,0,0,0.0,0,0,0.0,0
2021-01-29,0,0.0,0,0,0.0,0,0,0.0,0
2021-01-30,0,0.0,0,0,0.0,0,0,0.0,0
2021-01-31,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-01,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-02,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-03,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-04,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-05,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-06,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-07,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-08,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-09,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-10,0,0.0,0,0,0.0,0,0,0.0,0
2021-02-11,0,0.0,0,0,0.0,0,1,0.0,0
2021-02-12,0,0.0,0,0,0.0,0,1,-0.006724288468407225,1
2021-02-13,0,0.0,0,0,0.0,0,1,0.06809429727716965,1
