Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2019-07-01,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-02,1,-0.07750374665534165,-1,1,-0.06232107005548371,-1,1,-0.03384481982341225,-1
2019-07-03,1,0.06480701976683645,1,1,0.0,0,1,0.0,0
2019-07-04,1,0.03348145575201711,-1,1,0.008721485382871541,-1,1,0.0,0
2019-07-05,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-06,1,-0.016924804522862602,1,1,0.0,0,1,0.0,0
2019-07-07,1,0.0,0,1,0.00883944875053122,1,1,0.0,0
2019-07-08,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-16,1,0.10287456403206441,-1,1,0.09879789660727745,-1,1,0.08132465028767455,-1
2019-07-17,1,-0.01064371570065048,1,1,0.008476211726003546,1,1,0.05967167304336618,1
2019-07-18,1,-0.14034906028838723,-1,1,0.012873318146054968,1,1,0.054875384649497594,1
2019-07-19,1,-0.028532218493813488,-1,1,-0.03353293314726291,-1,1,-0.023164931063806682,-1
2019-07-20,1,-0.018656731277180483,1,1,-0.023178840115502752,1,1,-0.04834844662731508,1
2019-07-21,1,-0.023900438421983194,-1,1,0.0,0,1,0.0,0
2019-07-22,1,-0.014140392813828173,-1,1,-0.016166597028239416,-1,1,-0.0025616014317648705,-1
2019-07-23,1,0.00865519487521793,-1,1,0.0,0,1,0.006692926560466939,-1
2019-07-24,1,0.0,0,1,0.0,0,1,-0.01220763841265593,1
2019-07-25,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-26,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-27,1,-0.0019423889321037446,-1,1,0.002751546720818454,-1,1,0.012293353041088584,-1
2019-07-28,1,0.0,0,1,0.0,0,1,-0.06993733960284043,-1
2019-07-29,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-30,1,0.0,0,1,0.0,0,1,0.0,0
2019-07-31,1,0.008928863704779522,1,1,0.0,0,1,0.025729102316592423,1
2019-08-01,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-02,1,0.0,0,1,0.0,0,1,-0.011270091976683716,-1
2019-08-03,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-04,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-05,1,0.03461120315302546,1,1,-0.01151326792154539,1,1,-0.03179437509336713,1
2019-08-06,1,-0.06710653985974757,1,1,0.0,0,1,-0.018150569674074024,-1
2019-08-07,1,0.004058865151122193,1,1,0.0,0,1,-0.02519321877785896,-1
2019-08-08,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-09,1,0.0,0,1,-0.01293116107857295,-1,1,0.011731848415154622,-1
2019-08-10,1,0.008993665877001011,-1,1,0.0,0,1,0.0,0
2019-08-11,1,0.0,0,1,0.0,0,1,-0.009175192870122917,1
2019-08-12,1,0.0,0,1,0.0,0,1,-0.0025878049634522338,-1
2019-08-13,1,0.006629131604207639,-1,1,0.0,0,1,0.0,0
2019-08-14,1,0.03930137193674488,-1,1,0.05465217296650593,-1,1,0.058062850533592836,-1
2019-08-15,1,-0.07054722346994469,-1,1,-0.06700611176318039,-1,1,-0.06615819280295776,-1
2019-08-16,1,-0.04764299085186385,-1,1,0.0,0,1,0.0,0
2019-08-17,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-18,1,0.0,0,1,-0.006411606770893585,1,1,-0.015869342787695584,1
2019-08-19,1,0.017493479844563176,1,1,0.0,0,1,0.0,0
2019-08-20,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-21,1,0.018003973531499518,-1,1,-0.0044953250486432506,-1,1,-0.02105236911253283,-1
2019-08-22,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-23,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-24,1,-0.016403437941690857,-1,1,0.0,0,1,0.0,0
2019-08-25,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-26,1,-0.0165292337976225,1,1,0.0,0,1,0.0,0
2019-08-27,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-28,1,0.004288525088749107,-1,1,0.02333696292253995,-1,1,0.030075822999703683,-1
2019-08-29,1,-0.016345540253570157,-1,1,0.0,0,1,-0.002013425966359561,-1
2019-08-30,1,0.0,0,1,0.0,0,1,0.0,0
2019-08-31,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-01,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-02,1,0.022311623764743604,1,1,-0.011102861714640033,1,1,0.0,0
2019-09-03,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-04,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-05,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-07,1,0.0,0,1,0.00017010685343610277,1,1,-0.005618851080545273,1
2019-09-08,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-09,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-10,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-11,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-12,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-13,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-14,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-15,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-16,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-17,1,0.0,0,1,-0.003142228662265545,1,1,0.0,0
2019-09-18,1,0.0,0,1,0.0,0,1,-0.013609308549606292,1
2019-09-19,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-20,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-21,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-22,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-23,1,0.0,0,1,-0.0019959825259512343,-1,1,0.03421207821600769,-1
2019-09-24,1,0.08206841813763566,-1,1,0.12611947418767422,-1,1,0.12448620083204687,-1
2019-09-25,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-26,1,0.004690848788191815,-1,1,-0.028631464560755937,-1,1,-0.00726548748321898,-1
2019-09-27,1,0.0,0,1,-0.0036751789766529264,1,1,0.0,0
2019-09-28,1,0.0,0,1,0.0,0,1,0.0,0
2019-09-29,1,0.0,0,1,-0.024640852693503357,-1,1,-0.024873660922000607,-1
2019-09-30,1,-0.07203145648153608,-1,1,0.013340291076490152,1,1,0.0,0
2019-10-01,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-02,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-03,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-04,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-05,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-06,1,-0.004473323670029394,-1,1,0.0,0,1,-0.01032466044258018,-1
2019-10-07,1,0.0037529286147037766,1,1,0.004783429627257307,1,1,-0.008178730209705276,1
2019-10-08,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-09,1,0.008430320438389316,1,1,0.013067913086130423,1,1,0.0,0
2019-10-10,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-11,1,0.0,0,1,0.0063543179662564064,-1,1,0.0,0
2019-10-12,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-13,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-14,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-15,1,0.0,0,1,0.0,0,1,-0.014041993307167822,-1
2019-10-16,1,0.0,0,1,0.0,0,1,-0.012873414305780484,-1
2019-10-17,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-18,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-19,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-20,1,-0.006772276823690859,1,1,0.0,0,1,0.0,0
2019-10-21,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-22,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-23,1,0.02993643890642428,-1,1,0.0002156282743867033,-1,1,0.02039248587855791,-1
2019-10-24,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-25,1,0.11712328855164755,1,1,0.0695508769221771,1,1,0.076440062844495,1
2019-10-26,1,0.027718083948992778,1,1,-0.057691358302201734,1,1,-0.05670953341093021,1
2019-10-27,1,-0.0105196978787363,1,1,0.0,0,1,-0.015300430045616653,1
2019-10-28,1,0.0,0,1,0.0,0,1,0.0,0
2019-10-29,1,0.0,0,1,-0.002990485006440391,1,1,0.0,0
2019-10-30,1,-0.013232376658735001,-1,1,-0.008501235883739744,-1,1,0.0,0
2019-10-31,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-01,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-02,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-03,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-04,1,0.0,0,1,0.0,0,1,-0.011111497987302488,1
2019-11-05,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-06,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-07,1,0.0,0,1,0.0,0,1,-0.006778933335513271,-1
2019-11-08,1,0.006413833036510108,-1,1,0.0,0,1,0.0,0
2019-11-09,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-10,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-11,1,-0.00619194599600692,-1,1,0.0,0,1,0.0,0
2019-11-12,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-13,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-14,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-15,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-16,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-17,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-18,1,-0.0033551035035479515,-1,1,-0.018298530829792936,-1,1,0.0034900950608106607,-1
2019-11-19,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-20,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-21,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-22,1,0.0016585897119590909,-1,1,0.016293586664396065,-1,1,0.006982332382904355,-1
2019-11-23,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-24,1,0.01598747180104909,-1,1,0.03102250739288903,-1,1,0.040828067177652305,-1
2019-11-25,1,-0.07477176885177261,-1,1,-0.09628556843223501,-1,1,-0.02518915228223917,1
2019-11-26,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-27,1,-0.09550062453048414,-1,1,0.0,0,1,0.0,0
2019-11-28,1,0.0,0,1,0.0,0,1,0.0,0
2019-11-29,1,0.000967310217766304,1,1,0.0,0,1,0.0,0
2019-11-30,1,0.0,0,1,0.0,0,1,0.0,0
2019-12-01,1,0.0,0,1,0.0,0,1,0.0,0
2019-12-02,1,0.0,0,1,0.0,0,1,-0.009311104367715872,-1
2019-12-03,1,0.0,0,1,0.0,0,1,0.0,0
