Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2019-07-01,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-02,1,-0.07750374665534165,-1,0,0.0,0,1,-0.03384481982341225,-1
2019-07-03,1,0.06480701976683645,1,0,0.0,0,0,0.0,0
2019-07-04,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-05,0,0.0,0,1,0.0,0,0,0.0,0
2019-07-06,0,0.0,0,1,0.0,0,0,0.0,0
2019-07-07,0,0.0,0,0,0.0,0,1,0.0,0
2019-07-08,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-16,0,0.0,0,1,0.09879789660727745,-1,0,0.0,0
2019-07-17,0,0.0,0,1,0.008476211726003546,1,0,0.0,0
2019-07-18,0,0.0,0,0,0.0,0,1,0.054875384649497594,1
2019-07-19,0,0.0,0,1,-0.03353293314726291,-1,0,0.0,0
2019-07-20,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-21,0,0.0,0,1,0.0,0,0,0.0,0
2019-07-22,1,-0.014140392813828173,-1,1,-0.016166597028239416,-1,0,0.0,0
2019-07-23,1,0.00865519487521793,-1,1,0.0,0,0,0.0,0
2019-07-24,1,0.0,0,0,0.0,0,0,0.0,0
2019-07-25,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-26,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-27,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-28,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-29,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-30,1,0.0,0,0,0.0,0,0,0.0,0
2019-07-31,1,0.008928863704779522,1,0,0.0,0,0,0.0,0
2019-08-01,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-02,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-03,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-04,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-05,1,0.03461120315302546,1,0,0.0,0,0,0.0,0
2019-08-06,1,-0.06710653985974757,1,0,0.0,0,0,0.0,0
2019-08-07,1,0.004058865151122193,1,0,0.0,0,0,0.0,0
2019-08-08,1,0.0,0,0,0.0,0,0,0.0,0
2019-08-09,1,0.0,0,0,0.0,0,0,0.0,0
