Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2019-07-01,1,0.0,0,0,0.0,0,1,0.0,0
2019-07-02,1,-0.07750374665534165,-1,0,0.0,0,1,-0.03384481982341225,-1
2019-07-03,1,0.06480701976683645,1,0,0.0,0,1,0.0,0
2019-07-04,1,0.03348145575201711,-1,0,0.0,0,1,0.0,0
2019-07-05,1,0.0,0,0,0.0,0,0,0.0,0
2019-07-06,1,-0.016924804522862602,1,0,0.0,0,0,0.0,0
2019-07-07,1,0.0,0,0,0.0,0,0,0.0,0
2019-07-08,1,0.0,0,0,0.0,0,0,0.0,0
2019-07-16,1,0.10287456403206441,-1,1,0.09879789660727745,-1,1,0.08132465028767455,-1
2019-07-17,1,-0.01064371570065048,1,1,0.008476211726003546,1,1,0.05967167304336618,1
2019-07-18,1,-0.14034906028838723,-1,1,0.012873318146054968,1,1,0.054875384649497594,1
2019-07-19,1,-0.028532218493813488,-1,1,-0.03353293314726291,-1,1,-0.023164931063806682,-1
2019-07-20,1,-0.018656731277180483,1,1,-0.023178840115502752,1,0,0.0,0
2019-07-21,1,-0.023900438421983194,-1,1,0.0,0,0,0.0,0
2019-07-22,1,-0.014140392813828173,-1,1,-0.016166597028239416,-1,0,0.0,0
2019-07-23,1,0.00865519487521793,-1,1,0.0,0,1,0.006692926560466939,-1
2019-07-24,1,0.0,0,1,0.0,0,0,0.0,0
2019-07-25,1,0.0,0,1,0.0,0,0,0.0,0
2019-07-26,0,0.0,0,1,0.0,0,0,0.0,0
2019-07-27,1,-0.0019423889321037446,-1,1,0.002751546720818454,-1,0,0.0,0
2019-07-28,1,0.0,0,1,0.0,0,0,0.0,0
2019-07-29,1,0.0,0,1,0.0,0,0,0.0,0
2019-07-30,0,0.0,0,0,0.0,0,0,0.0,0
2019-07-31,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-01,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-02,0,0.0,0,0,0.0,0,0,0.0,0
2019-08-03,0,0.0,0,0,0.0,0,0,0.0,0
