Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2020-07-01,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-02,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-03,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-06,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-07,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-08,-1,0.0,0,1,0.0,0,0,0.0,0
2020-07-09,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-13,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-14,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-15,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-16,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-17,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-18,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-19,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-20,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-21,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-22,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-07-23,-1,0.0,0,1,0.0,0,0,0.0,0
2020-07-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-25,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-26,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-07-31,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-01,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-02,-1,0.006366060820580222,-1,0,0.0,0,0,0.0,0
2020-08-03,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-04,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-05,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-06,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-07,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-08,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-09,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-10,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-11,-1,-0.015358788336524487,-1,-1,-0.026561652202601094,-1,0,0.0,0
2020-08-12,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-13,-1,0.0,0,1,0.022545349568576345,1,0,0.0,0
2020-08-14,-1,0.0,0,1,0.0,0,0,0.0,0
2020-08-15,-1,0.0,0,1,0.0,0,0,0.0,0
2020-08-16,-1,0.0,0,1,0.0,0,0,0.0,0
2020-08-17,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-18,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-19,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-20,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-08-21,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-22,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-23,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-25,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-26,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-08-31,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-01,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-02,-1,-0.013641103298569712,-1,0,0.0,0,0,0.0,0
2020-09-03,-1,0.05339189356909879,-1,0,0.0,0,0,0.0,0
2020-09-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-06,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-09-07,-1,0.0,0,-1,-0.0795407882446133,-1,0,0.0,0
2020-09-08,-1,0.0,0,-1,-0.028904953121426047,-1,0,0.0,0
2020-09-09,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-13,-1,0.0,0,-1,-0.01999474472214824,-1,0,0.0,0
2020-09-14,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-09-15,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-09-16,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-17,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-18,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-19,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-20,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-21,-1,0.0,0,-1,0.011265981590011687,-1,0,0.0,0
2020-09-22,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-09-23,-1,0.0,0,-1,-0.0037355792016380285,-1,0,0.0,0
2020-09-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-25,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-26,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-09-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-01,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-02,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-10-03,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-10-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-06,-1,0.0,0,-1,0.0,0,0,0.0,0
2020-10-07,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-08,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-09,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-13,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-14,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-15,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-16,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-17,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-18,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-19,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-20,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-21,-1,0.0,0,1,-0.009648414802807537,1,0,0.0,0
2020-10-22,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-23,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-25,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-26,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-10-31,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-01,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-02,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-03,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-06,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-07,-1,-0.008960515301938976,-1,0,0.0,0,0,0.0,0
2020-11-08,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-09,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-13,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-14,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-15,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-16,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-17,-1,0.0,0,1,0.0,0,0,0.0,0
2020-11-18,-1,0.0,0,1,0.0,0,0,0.0,0
2020-11-19,-1,0.0,0,1,0.0,0,0,0.0,0
2020-11-20,-1,0.0,0,1,0.009488178813629844,1,0,0.0,0
2020-11-21,-1,0.0,0,1,0.009916959143396742,1,0,0.0,0
2020-11-22,-1,-0.04512925378623267,-1,0,0.0,0,0,0.0,0
2020-11-23,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-25,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-26,-1,0.028222701008859707,-1,0,0.0,0,0,0.0,0
2020-11-27,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-28,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-29,-1,0.0,0,0,0.0,0,0,0.0,0
2020-11-30,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-01,-1,-0.010426635468031575,-1,0,0.0,0,0,0.0,0
2020-12-02,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-03,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-04,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-05,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-06,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-07,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-08,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-09,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-10,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-11,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-12,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-13,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-14,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-15,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-16,-1,0.0,0,1,0.008751798464387672,1,0,0.0,0
2020-12-17,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-18,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-19,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-20,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-21,-1,-0.02846914584193505,-1,-1,0.0,0,0,0.0,0
2020-12-22,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-23,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-24,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-25,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-26,-1,0.0,0,0,0.0,0,0,0.0,0
2020-12-27,-1,0.0,0,1,0.0008939092618234223,1,0,0.0,0
2020-12-28,-1,0.0,0,1,-0.006159806351260233,1,0,0.0,0
2020-12-29,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-30,-1,0.0,0,1,0.0,0,0,0.0,0
2020-12-31,-1,0.0,0,1,0.0,0,0,0.0,0
2021-01-01,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-02,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-03,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-04,-1,-0.027920034551110806,-1,0,0.0,0,0,0.0,0
2021-01-05,-1,-0.13098137241651364,-1,0,0.0,0,0,0.0,0
2021-01-06,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-07,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-08,-1,-0.09365902435341122,-1,0,0.0,0,0,0.0,0
2021-01-09,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-10,-1,-0.007937531155827182,-1,0,0.0,0,0,0.0,0
2021-01-11,-1,0.011634808873341784,-1,0,0.0,0,0,0.0,0
2021-01-12,-1,-0.01964906155174062,-1,0,0.0,0,0,0.0,0
2021-01-13,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-14,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-15,-1,-0.00015298292940735259,-1,0,0.0,0,0,0.0,0
2021-01-16,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-17,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-18,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-19,-1,0.0,0,0,0.0,0,0,0.0,0
2021-01-20,-1,-0.05250164958411885,-1,0,0.0,0,0,0.0,0
2021-01-21,-1,0.07499890611693139,-1,0,0.0,0,0,0.0,0
2021-01-22,-1,-0.14152036707142557,-1,0,0.0,0,0,0.0,0
2021-01-23,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-24,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-25,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-26,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-27,-1,0.0020384033536406942,-1,-1,0.0163660480199066,-1,0,0.0,0
2021-01-28,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-29,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-30,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-01-31,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-01,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-02,-1,0.0,0,-1,0.0,0,0,0.0,0
2021-02-03,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-04,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-05,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-06,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-07,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-08,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-09,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-10,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-11,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-12,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-13,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-14,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-15,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-16,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-17,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-18,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-19,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-20,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-21,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-22,-1,-0.004551702458837736,-1,0,0.0,0,0,0.0,0
2021-02-23,-1,0.03564135558967663,-1,0,0.0,0,0,0.0,0
2021-02-24,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-25,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-26,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-27,-1,0.0,0,0,0.0,0,0,0.0,0
2021-02-28,-1,-0.04513090642125506,-1,0,0.0,0,0,0.0,0
2021-03-01,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-02,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-03,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-04,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-05,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-06,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-07,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-08,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-09,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-10,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-11,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-12,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-13,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-14,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-15,-1,0.01186419891950552,-1,0,0.0,0,0,0.0,0
2021-03-16,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-17,-1,-0.08408507891469097,-1,0,0.0,0,0,0.0,0
2021-03-18,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-19,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-20,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-21,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-22,-1,0.01210981328978833,-1,0,0.0,0,0,0.0,0
2021-03-23,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-24,-1,-0.007384872763275041,-1,0,0.0,0,0,0.0,0
2021-03-25,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-26,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-27,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-28,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-29,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-30,-1,0.0,0,0,0.0,0,0,0.0,0
2021-03-31,-1,0.0,0,0,0.0,0,0,0.0,0
