Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2020-01-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-02,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-03,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-04,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-05,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-06,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-07,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-08,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-10,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-11,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-12,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-13,0,0.0,0,0,0.0,0,1,-0.005677210056772131,-1
2020-01-14,1,0.038260671181665096,1,1,0.11344284277572902,1,1,0.09571882594877534,1
2020-01-15,1,-0.024167084983360176,-1,1,0.0,0,1,0.0,0
2020-01-16,1,-0.007458316247855867,-1,1,-0.02135873964754964,-1,1,-0.032616487455197074,-1
2020-01-17,1,-0.00145181684668505,1,1,-0.002227302033878553,1,1,0.0,0
2020-01-18,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-19,1,-0.040871069421613226,1,1,-0.013177870893301913,-1,1,-0.016416593115622158,-1
2020-01-20,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-21,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-22,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-24,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-25,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-26,0,0.0,0,0,0.0,0,0,0.0,0
2020-01-27,0,0.0,0,0,0.0,0,1,-0.00644832852536914,1
2020-01-28,1,0.0,0,0,0.0,0,1,0.0,0
2020-01-29,0,0.0,0,0,0.0,0,1,0.0,0
2020-01-30,1,0.0,0,0,0.0,0,0,0.0,0
2020-01-31,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-01,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-02,0,0.0,0,0,0.0,0,0,0.0,0
2020-02-03,0,0.0,0,1,0.0,0,0,0.0,0
2020-02-04,1,0.0,0,0,0.0,0,0,0.0,0
2020-02-05,1,0.014436814404315212,1,1,0.025959651858932453,1,0,0.0,0
2020-02-07,1,0.0,0,1,0.0,0,1,0.0,0
2020-02-08,1,0.0,0,1,0.0,0,1,0.0,0
2020-02-09,1,0.0033040027860566923,1,1,0.0,0,1,0.0,0
2020-02-10,0,0.0,0,1,-0.000536720636908461,-1,0,0.0,0
2020-02-11,1,-0.05633310941425651,-1,1,-0.08903639276722375,-1,0,0.0,0
2020-02-12,1,0.0,0,1,0.05058809645568618,1,0,0.0,0
2020-02-13,0,0.0,0,1,0.0,0,0,0.0,0
2020-02-14,1,-0.0255165043110821,-1,1,0.0,0,0,0.0,0
2020-02-15,0,0.0,0,1,0.0333880678708266,-1,0,0.0,0
2020-02-16,0,0.0,0,1,0.0,0,0,0.0,0
2020-02-17,0,0.0,0,1,-0.07677782241864195,-1,0,0.0,0
2020-02-18,0,0.0,0,1,0.0,0,0,0.0,0
2020-02-19,0,0.0,0,0,0.0,0,1,0.0,0
2020-02-21,0,0.0,0,0,0.0,0,1,0.0,0
2020-02-22,0,0.0,0,0,0.0,0,1,0.0,0
2020-02-23,0,0.0,0,0,0.0,0,1,0.020623806492679808,1
2020-02-24,0,0.0,0,0,0.0,0,1,0.002760978175124995,-1
2020-02-25,0,0.0,0,1,0.0437429712645907,-1,1,0.011555060559654717,-1
