Date,Open,Close,High,Low,Volume
2021-03-31,58781.1,58786.2,59800.0,56813.8,5451.56829086
2021-03-30,57627.5,58781.0,59380.0,57055.0,3941.68729389
2021-03-29,55782.3,57624.2,58619.7,54919.0,5884.89160022
2021-03-28,55852.5,55782.0,56550.0,54690.9,3562.54681255
2021-03-27,55062.1,55852.4,56668.0,54000.0,3968.91582671
2021-03-26,51318.2,55062.2,55107.0,51239.1,4954.12112589
2021-03-25,52280.4,51314.9,53219.9,50436.3,6482.78493088
2021-03-24,54341.2,52293.8,57200.0,51641.8,7897.28001289
2021-03-23,54098.2,54351.3,55814.9,53011.0,5033.16532730
2021-03-22,57368.8,54095.1,58403.2,53775.0,6156.27773216
2021-03-21,58080.5,57378.4,58835.6,55536.5,3911.97734630
2021-03-20,58085.0,58091.6,59880.0,57545.2,3369.76250794
2021-03-19,57640.0,58101.8,59461.5,56243.1,3859.35865644
2021-03-18,58940.5,57640.9,60000.0,57007.0,5831.85791094
2021-03-17,56891.1,58933.0,58951.0,53752.0,6509.29258273
2021-03-16,55627.6,56891.1,56891.1,52500.0,6381.12428361
2021-03-15,59001.0,55600.0,60580.0,54593.8,6721.10373802
2021-03-14,61174.9,59001.1,61639.2,59001.0,3394.47205511
2021-03-13,57238.9,61174.9,61724.6,56073.2,7245.63678712
2021-03-12,57807.0,57234.0,58069.5,55040.2,4971.61542626
2021-03-11,55859.9,57809.9,58150.1,54286.3,6111.04350087
2021-03-10,54922.7,55851.0,57378.0,53051.0,8091.88400907
2021-03-09,52383.0,54929.0,54929.0,51875.0,5890.74250935
2021-03-08,50971.3,52375.0,52432.9,49368.0,4669.97221169
2021-03-07,48906.0,50962.3,51470.2,48905.9,4519.00601948
2021-03-06,48767.4,48899.9,49232.2,47111.9,3104.70756826
2021-03-05,48330.0,48734.7,49539.3,46312.0,7480.67750585
2021-03-04,50400.0,48330.0,51820.4,47500.0,7226.22528712
2021-03-03,48495.9,50400.0,52600.0,48160.0,6721.59262050
2021-03-02,49615.3,48486.2,50225.8,47050.2,5796.81965376
2021-03-01,45234.7,49620.7,49818.1,45046.8,7070.92019864
2021-02-28,46163.9,45245.4,46706.2,43020.0,6840.39246604
2021-02-27,46307.2,46170.2,48350.0,45022.9,4235.54896417
2021-02-26,47072.1,46314.5,48449.0,44120.3,10050.93808767
2021-02-25,49726.1,47061.5,52071.9,46702.0,7523.62785681
2021-02-24,48899.6,49727.7,51442.5,47015.7,8110.23297686
2021-02-23,54128.0,48899.8,54200.0,45000.0,17080.21248951
2021-02-22,57475.9,54154.8,57567.6,45002.0,12299.53570482
2021-02-21,55931.5,57478.3,58339.0,55490.5,3727.83573597
2021-02-20,55926.5,55938.7,57500.0,53961.9,5846.24681261
2021-02-19,51590.5,55926.9,56349.9,50683.4,8055.79248517
2021-02-18,52130.0,51600.9,52555.1,50904.2,4118.2056143
2021-02-17,49185.6,52130.0,52779.6,48967.4,7320.83703094
2021-02-16,47937.1,49218.7,50599.9,47040.1,6175.520692
2021-02-15,48655.4,47937.1,49043.3,45710.5,5337.99924266
2021-02-14,47199.9,48649.7,49700.0,47038.7,3553.11213783
2021-02-13,47438.2,47199.9,48224.1,46285.0,2631.80889729
2021-02-12,47979.9,47470.4,48925.0,46263.0,5332.29630267
2021-02-11,44839.5,47962.8,48703.6,44046.2,7962.97492388
2021-02-10,46504.5,44847.5,47340.0,43734.8,6451.55893098
2021-02-09,46425.7,46502.8,48222.0,45050.0,10574.2177171
2021-02-08,38867.1,46425.8,46727.2,38075.0,13678.90387894
2021-02-07,39257.0,38874.9,39704.4,37410.5,5135.54003709
2021-02-06,38311.7,39257.0,40986.0,38221.4,9126.76729633
2021-02-05,36975.8,38296.7,38340.0,36582.9,4809.54280306
2021-02-04,37676.0,36979.0,38735.1,36202.0,7172.51303209
2021-02-03,35500.0,37670.9,37676.0,35394.8,7014.21979274
2021-02-02,33534.1,35500.0,36000.0,33462.1,6824.95472103
2021-02-01,33121.8,33533.9,34700.0,32325.3,5477.65375934
2021-01-31,34297.4,33122.0,34373.2,32200.0,4625.29985591
2021-01-30,34266.3,34296.5,34902.0,32865.2,5251.37596528
2021-01-29,33430.5,34261.7,38621.0,32000.0,20784.44273084
2021-01-28,30422.6,33430.4,33872.1,29900.0,8816.48779189
2021-01-27,32509.2,30424.2,32579.0,29255.0,11215.32690868
2021-01-26,32266.9,32501.0,32932.8,30816.2,8854.20510657
2021-01-25,32297.8,32274.4,34872.7,31908.7,9134.64789835
2021-01-24,32101.1,32292.0,33088.2,30950.0,4828.26804529
2021-01-23,33000.1,32100.5,33496.4,31350.0,6099.11396014
2021-01-22,30832.5,33000.0,33850.0,28800.0,15251.54979223
2021-01-21,35511.8,30832.6,35614.1,30056.1,19513.43295565
2021-01-20,35925.5,35511.8,36396.7,33374.0,9170.19074567
2021-01-19,36622.5,35925.6,37860.0,35900.0,6298.67637683
2021-01-18,35815.6,36622.5,37400.0,34754.5,7464.62633774
2021-01-17,36010.5,35816.4,36873.9,33850.0,9017.89627085
2021-01-16,36744.6,36014.6,37947.5,35342.2,8842.42252093
2021-01-15,39121.5,36739.8,39686.1,34371.0,13486.03839009
2021-01-14,37390.1,39151.6,40115.0,36676.6,10488.49678433
2021-01-13,34038.2,37390.1,37820.0,32349.9,13128.53982254
2021-01-12,35444.0,34046.4,36626.6,32416.8,13744.95201747
2021-01-11,38170.3,35439.3,38249.9,30302.0,27061.98196231
2021-01-10,40256.8,38170.5,41437.5,34875.0,14578.12038267
2021-01-09,40644.2,40252.1,41418.0,38765.2,5989.36250679
2021-01-08,39489.0,40666.7,41989.0,36618.0,14072.21903592
2021-01-07,36873.4,39489.0,40376.9,36201.0,16175.89556871
2021-01-06,34049.7,36876.7,36989.0,33373.4,12345.59200165
2021-01-05,32047.9,34050.0,34499.0,29910.5,10982.67553728
2021-01-04,33082.7,32048.0,33652.3,27920.0,16125.62840498
2021-01-03,32215.4,33082.7,34771.0,32002.0,12135.92577129
2021-01-02,29398.7,32238.8,33245.0,29028.7,19615.91350889
2021-01-01,28959.4,29398.9,29670.0,28672.3,5856.86897657
2020-12-31,28880.0,28959.2,29291.7,27844.0,7612.52438637
2020-12-30,27376.2,28879.9,28972.1,27346.0,10428.39122144
2020-12-29,27028.9,27376.2,27400.0,25850.0,8698.45260361
2020-12-28,26238.0,27029.5,27460.9,26056.4,7871.34149982
2020-12-27,26442.2,26251.4,28353.2,25634.6,14257.99861732
2020-12-26,24703.8,26441.2,26800.0,24500.0,9648.05536731
2020-12-25,23718.7,24698.6,24777.7,23410.8,6178.77951455
2020-12-24,23225.5,23718.6,23750.0,22723.0,4800.52521058
2020-12-23,23823.0,23226.7,24080.0,22629.2,8830.55195551
2020-12-22,22724.6,23828.2,23837.0,22354.2,5728.00766789
2020-12-21,23480.8,22716.1,24090.0,21885.6,10783.18264979
2020-12-20,23871.5,23480.7,24297.7,23084.9,5876.10037185
2020-12-19,23132.8,23871.5,24288.2,22800.0,6255.1278031
2020-12-18,22811.8,23130.5,23317.1,22308.2,6050.93755165
2020-12-17,21361.7,22826.2,23751.0,21264.4,18993.4418147
2020-12-16,19439.5,21378.1,21577.4,19302.4,11843.67879736
2020-12-15,19281.0,19439.7,19551.5,19048.9,5539.3514557
2020-12-14,19163.0,19281.1,19342.7,19002.0,3153.24214073
2020-12-13,18814.4,19164.1,19420.0,18712.6,4740.41168303
2020-12-12,18031.5,18806.9,18986.9,18024.0,4583.50043711
2020-12-11,18246.4,18031.5,18285.0,17572.0,6183.56417574
2020-12-10,18548.4,18245.5,18557.2,17911.1,4911.09036808
2020-12-09,18313.1,18548.5,18640.0,17649.9,7731.94332043
2020-12-08,19182.5,18320.5,19300.0,18120.0,6386.01889423
2020-12-07,19385.0,19178.6,19440.0,18900.0,3138.3648126
2020-12-06,19153.1,19392.9,19437.0,18857.8,2717.60065321
