Date,Open,Close,High,Low,Volume
2021-03-31,1841.75,1918.89,1947.96,1771.12,85079.79330855
2021-03-30,1816.40,1841.69,1859.00,1787.00,42076.67905523
2021-03-29,1685.98,1816.31,1841.80,1677.00,69522.59451000
2021-03-28,1715.00,1685.98,1724.63,1661.90,30498.19572262
2021-03-27,1699.62,1713.31,1731.70,1668.00,31540.21878948
2021-03-26,1586.80,1699.89,1699.96,1586.80,31573.65031122
2021-03-25,1582.00,1586.77,1620.82,1550.00,42423.53517339
2021-03-24,1668.26,1582.00,1740.91,1544.80,71432.09191483
2021-03-23,1681.21,1668.40,1720.90,1652.00,43768.02657968
2021-03-22,1784.42,1681.63,1807.97,1657.26,62468.51722298
2021-03-21,1804.11,1784.29,1816.48,1747.95,33175.76844371
2021-03-20,1810.38,1805.00,1868.48,1801.38,33257.71400199
2021-03-19,1776.57,1810.38,1839.98,1731.40,39611.81086877
2021-03-18,1824.40,1776.57,1849.00,1759.79,44571.04879466
2021-03-17,1805.69,1823.76,1839.54,1743.01,47484.96951590
2021-03-16,1794.11,1805.14,1818.00,1712.03,49192.41490951
2021-03-15,1847.80,1793.23,1890.99,1735.72,72686.99002779
2021-03-14,1920.98,1847.80,1930.85,1838.25,56996.94311728
2021-03-13,1767.77,1920.17,1942.71,1727.70,85219.27581306
2021-03-12,1826.92,1767.06,1840.64,1722.02,60538.00794603
2021-03-11,1795.44,1826.87,1847.73,1724.65,71185.38407176
2021-03-10,1872.33,1795.79,1879.37,1758.12,82155.32353417
2021-03-09,1834.19,1872.34,1872.34,1796.34,72160.27179686
2021-03-08,1726.83,1833.68,1842.92,1650.00,94445.58476891
2021-03-07,1651.08,1727.49,1734.78,1631.19,64850.56020209
2021-03-06,1529.07,1650.56,1671.10,1513.53,72729.44595398
2021-03-05,1539.76,1528.76,1549.42,1442.86,109879.00345673
2021-03-04,1567.90,1537.52,1624.68,1505.69,90708.82904413
2021-03-03,1488.56,1566.41,1656.30,1478.04,99872.15212302
2021-03-02,1571.00,1489.22,1616.17,1455.80,127169.20496276
2021-03-01,1422.47,1570.99,1573.83,1414.00,104778.76964392
2021-02-28,1460.00,1422.70,1469.27,1295.00,173849.72607465
2021-02-27,1445.23,1460.13,1526.98,1426.52,89749.06168123
2021-02-26,1480.82,1445.33,1563.16,1401.00,137274.39231725
2021-02-25,1625.55,1481.68,1671.90,1458.76,103915.86599256
2021-02-24,1579.00,1625.01,1716.00,1498.44,157749.78248227
2021-02-23,1778.93,1579.16,1782.81,1358.0,311472.08242014
2021-02-22,1935.44,1778.82,1937.67,700.0,232472.07104812
2021-02-21,1915.01,1935.44,1975.0,1886.04,60937.58066845
2021-02-20,1957.73,1916.01,2038.84,1810.0,144509.03261137
2021-02-19,1939.37,1957.68,1975.67,1891.57,88873.30183439
2021-02-18,1851.31,1939.57,1949.73,1851.31,88629.36770882
2021-02-17,1782.0,1850.95,1856.96,1733.5,72397.67230213
2021-02-16,1779.55,1781.69,1825.16,1725.0,81863.38641757
2021-02-15,1804.33,1778.99,1835.23,1666.26,155254.72754084
2021-02-14,1818.01,1804.34,1851.88,1786.0,45768.08000658
2021-02-13,1844.09,1818.01,1873.28,1761.77,62021.82774418
2021-02-12,1786.31,1845.31,1867.58,1739.87,92310.16638678
2021-02-11,1742.55,1786.31,1818.0,1706.3,70469.15110982
2021-02-10,1772.02,1743.48,1838.71,1681.0,120445.89591542
2021-02-09,1752.18,1771.14,1823.99,1709.16,101087.51290273
2021-02-08,1615.46,1752.18,1777.17,1566.32,137478.30143469
2021-02-07,1678.69,1615.99,1694.0,1487.27,139689.27563387
2021-02-06,1722.0,1678.92,1744.58,1648.5,103793.42131763
2021-02-05,1598.22,1722.0,1763.98,1593.07,136821.06089927
2021-02-04,1669.1,1598.23,1698.0,1557.41,169746.63486751
2021-02-03,1513.58,1667.78,1670.98,1509.31,142434.44313603
2021-02-02,1374.89,1513.12,1549.0,1362.34,220413.01387191
2021-02-01,1313.02,1374.05,1377.75,1271.03,79490.44313367
2021-01-31,1378.99,1313.7,1381.0,1282.67,70188.67177848
2021-01-30,1379.38,1377.99,1402.57,1327.92,67237.19948721
2021-01-29,1332.3,1379.38,1440.0,1288.95,172062.46289631
2021-01-28,1240.31,1332.12,1362.76,1220.0,136652.52906709
2021-01-27,1367.61,1240.68,1374.56,1206.0,174723.72309114
2021-01-26,1318.3,1367.15,1379.07,1246.0,187548.73712274
2021-01-25,1393.35,1318.69,1475.0,1291.32,231751.21601991
2021-01-24,1234.27,1392.01,1400.0,1222.13,151154.77789149
2021-01-23,1234.0,1233.89,1273.17,1198.12,85833.91171202
2021-01-22,1111.59,1234.03,1275.0,1040.46,218367.13022356
2021-01-21,1377.99,1111.76,1389.59,1081.56,257626.05933581
2021-01-20,1367.65,1378.0,1407.52,1234.71,203364.41168835
2021-01-19,1258.4,1367.94,1439.55,1252.02,257676.35051989998
2021-01-18,1233.24,1258.27,1260.12,1184.21,77758.58108443
2021-01-17,1227.71,1233.24,1268.41,1166.0,114011.46880161
2021-01-16,1169.93,1228.89,1292.01,1152.02,152040.54384135
2021-01-15,1231.08,1168.24,1257.8,1065.0,204856.76269959
2021-01-14,1130.11,1231.08,1246.12,1087.24,175493.14858902
2021-01-13,1050.1,1129.9,1136.7,985.01,144114.80841455
2021-01-12,1088.55,1049.98,1152.78,1001.49,201765.86901013
2021-01-11,1255.15,1088.94,1259.97,910.82,442942.5208625
2021-01-10,1280.68,1255.15,1350.0,1152.0,212133.57380106
2021-01-09,1218.86,1280.43,1307.0,1172.79,128230.82429453
2021-01-08,1226.47,1217.33,1273.4,1065.0,253343.50211589
2021-01-07,1211.73,1226.18,1289.88,1161.0,218838.45107018
2021-01-06,1103.48,1211.85,1215.09,1058.97,231794.91612556
2021-01-05,1043.52,1103.41,1134.0,975.0,272632.4965551
2021-01-04,980.0,1042.52,1166.0,888.88,395811.50863932
2021-01-03,775.05,979.86,1012.7,769.49,300555.74823493
2021-01-02,730.95,775.01,788.0,717.5,149416.82512879
2021-01-01,737.35,730.85,750.0,717.0,44230.209857999995
2020-12-31,752.9,737.45,756.11,721.0,84351.63264722
2020-12-30,731.84,752.5,758.0,716.23,129621.21075442
2020-12-29,729.12,731.84,738.97,686.76,131331.08284668
2020-12-28,683.49,729.12,746.71,680.39,178049.37113408
2020-12-27,636.33,683.03,715.09,623.68,189210.42533624
2020-12-26,626.77,635.95,651.99,615.5,76505.57758732
2020-12-25,612.31,626.83,633.33,603.92,49171.1877611
2020-12-24,585.03,612.49,615.14,565.9,58137.20654204
