Date,SMA5-20,SMA8-15,SMA20-50,EMA5-20,EMA8-15,EMA20-50,MACD12-26,AO14,ADX14,WD14,PPO12_26,RSI14,MFI14,TSI,SO14,CMO14,ATRP14,PVO14,FI13,FI50,ADL,OBV,Open,High,Low,Close,Volume
2015-09-02,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.82,2.82,2.75,2.75,5.6
2015-09-03,,,,,,,,,,,,,,,,,,,,,-1332.79,-1331.79,2.75,2.78,2.67,2.67,1332.79
2015-09-04,,,,,,,,,,,,,,,,,,,,,-1761.37,-1760.37,2.67,2.67,2.65,2.65,428.58
2015-09-05,,,,,,,,,,,,,,,,,,,,,-1207.21,-1206.21,2.65,2.93,2.65,2.93,554.16
2015-09-06,,,,,,,,,,,,,,,,,,,,,-1170.83,-1169.83,2.93,3.16,2.93,3.16,36.38
2015-09-07,,,,,,,,,,,,,,,,,,,,,-1170.83,-1169.83,3.16,3.16,3.16,3.16,0.0
2015-09-08,,,,,,,,,,,,,,,,,,,,,-1170.83,-1169.83,3.16,3.16,3.16,3.16,0.0
2015-09-09,,,,,,,,,,,,,,,,,,,,,-1290.82,-1289.82,3.16,3.16,2.99,2.99,119.99
2015-09-10,,,,,,,,,,,,,,,,,,,,,-1276.02,-1275.02,2.99,3.0,2.99,3.0,14.8
2015-09-11,,,,,,,,,,,,,,,,,,,,,-1266.6299999999999,-1287.54,3.0,3.0,2.92,2.99,12.52
2015-09-12,,,,,,,,,,,,,,,,,,,,,-1265.26,-1287.54,2.99,2.99,2.95,2.99,1.37
2015-09-13,,,,,,,,,,,,,,,,,,,,,-2533.644210526316,-2894.16,2.99,2.99,2.8,2.82,1606.62
2015-09-14,,,,,,,,,,,,,,,,,,,,,-2531.624210526316,-2892.14,2.82,2.87,2.82,2.87,2.02
2015-09-15,,,,,,,,28.571428571428573,18.53697261764572,-2.388673326390048,,,,,0.2941176470588232,4.587155963302733,18.214285714285726,,-39.60714284106298,,-3219.824210526316,-3580.34,2.87,2.87,2.8,2.8,688.2
2015-09-16,,-0.43221891458666717,,,-1.706875117206489,,,28.57142857142857,23.293600730074125,-3.5955341069269666,,49.13793103448276,21.252825676298485,,0.1568627450980393,5.555555555555558,18.68131868131869,,-37.351470378101524,,-3719.534210526316,-4080.05,2.8,2.8,2.73,2.73,499.71
